id,latitude,longitude
45716,12.942021,77.567664
46050,12.942052,77.575362
58127,12.942357,77.696726
20439,12.942438,77.556630
43340,12.942501,77.543913
150670,12.942867,77.622606
57905,12.943034,77.555810
44860,12.943201,77.505385
43465,12.943633,77.567870
30121,12.944587,77.572377
31979,12.944587,77.572377
37073,12.944587,77.572377
45167,12.944587,77.572377
54912,12.944587,77.572377
25582,12.944632,77.525574
43658,12.944659,77.523701
44857,12.944749,77.504054
45131,12.945164,77.567746
57899,12.945585,77.580315
40403,12.945962,77.568061
57910,12.946422,77.575723
31314,12.946797,77.531315
32487,12.947760,77.602558
32508,12.947760,77.602558
33862,12.947760,77.602558
49036,12.947906,77.602591
53538,12.947906,77.602591
53794,12.947906,77.602591
45786,12.948160,77.567804
45634,12.948193,77.597187
33263,12.948235,77.573887
34129,12.948862,77.645396
40117,12.948932,77.645366
43693,12.949807,77.665522
36303,12.950018,77.644255
31626,12.950338,77.600453
25878,12.950388,77.502222
26284,12.950388,77.502222
26365,12.950388,77.502222
43335,12.950399,77.555647
52151,12.950405,77.502062
31493,12.950456,77.623682
31442,12.950520,77.569367
45857,12.950714,77.573725
54907,12.950743,77.584777
44748,12.950980,77.486496
45195,12.951118,77.591533
25726,12.951357,77.587181
45068,12.951482,77.483498
44908,12.951524,77.483112
44732,12.952068,77.486303
27254,12.952259,77.537184
46547,12.952740,77.652575
123889,12.953019,77.708811
35934,12.953667,77.577703
40413,12.953792,77.600951
45395,12.953969,77.659352
45504,12.954077,77.585677
57902,12.954285,77.594305
45728,12.954398,77.592753
29302,12.954459,77.522755
46048,12.954487,77.619072
54385,12.954991,77.619961
54448,12.955170,77.614501
36586,12.955211,77.578292
44735,12.955832,77.537040
38497,12.956190,77.694282
31089,12.956252,77.701187
45819,12.956259,77.653463
46449,12.956259,77.653463
46308,12.956481,77.601343
32272,12.956542,77.585958
43223,12.956760,77.520292
36994,12.956809,77.702102
43960,12.956844,77.715033
34121,12.956924,77.701127
34124,12.956924,77.701127
37057,12.956924,77.701127
39936,12.956924,77.701127
43662,12.956924,77.701127
43919,12.956924,77.701127
44218,12.956924,77.701127
44237,12.956924,77.701127
48974,12.956924,77.701127
53795,12.956924,77.701127
58198,12.956924,77.701127
42396,12.956927,77.701654
37602,12.956947,77.701535
44747,12.957160,77.536383
45919,12.957378,77.585418
44852,12.957569,77.600541
36555,12.957755,77.599251
38698,12.957755,77.599251
39429,12.957755,77.599251
58224,12.957755,77.599251
39994,12.957837,77.545036
54384,12.957869,77.614845
44728,12.958145,77.526617
28053,12.958232,77.525388
26232,12.958332,77.708299
11893,12.958425,77.603730
21532,12.958676,77.586580
45398,12.958769,77.656867
45400,12.958769,77.656867
43724,12.958821,77.508911
46441,12.958913,77.656891
31004,12.959054,77.659046
11946,12.959188,77.656687
46258,12.959224,77.664267
46444,12.959259,77.654163
32124,12.959351,77.573642
43425,12.959396,77.574721
43488,12.959396,77.574721
25065,12.959455,77.580569
25439,12.959455,77.580569
28059,12.959455,77.580569
28628,12.959455,77.580569
43435,12.959455,77.580569
11957,12.960188,77.649186
31428,12.960229,77.648330
43290,12.960750,77.582814
17569,12.960986,77.638732
38333,12.960986,77.638732
46199,12.961606,77.599633
31657,12.961695,77.598532
