lat,lon,restaurants,shops,bus_stops,hospitals,police_stations,crowd_score,hospital_dist_m,police_dist_m
1439506.02912519,768553.457229976,0,0,0,0,0,0,2536.21475841515,3029.6461629870564
1439750.9755236935,768562.6846582489,0,0,0,0,0,0,2303.4862432159757,3230.868123663975
1439959.4823319868,768608.7895635205,0,0,0,0,0,0,2092.7868346903147,3388.038767170154
1440158.9739597086,768671.5861049668,0,0,0,0,0,0,1884.4668249311567,3535.5767029987014
1441947.9795618232,768664.805131026,0,0,0,0,0,0,739.7416907975802,4805.359255937543
1425045.0748458556,768807.3511407054,0,0,0,0,0,0,3285.4539908868087,3526.697712450436
1425251.1523286712,768808.0917361043,0,0,0,0,0,0,3079.5162018140386,3322.4425708421704
1425438.7723988376,768873.3740293091,0,0,0,0,0,0,2889.9012855636984,3127.7530022319315
1426611.2251198327,768907.5428732417,0,0,0,0,0,0,1717.0017218840637,1964.0447058171023
1426783.1171223177,768822.7480683697,0,0,0,0,0,0,1549.0650234737157,1814.683270884789
1427015.9811522423,768827.1680774303,0,0,0,0,0,0,1316.569238977771,1588.9500489154086
1427256.02912519,768803.457229976,0,0,0,0,0,0,1080.2105519718361,1368.257431850386
1427506.02912519,768803.457229976,0,0,0,0,0,0,832.6948186355344,1136.785467346649
1427756.02912519,768803.457229976,0,0,0,0,0,0,587.2873958920217,915.1141992818518
1428006.02912519,768803.457229976,0,0,0,0,0,0,348.47139016682405,712.4512591637344
1428256.02912519,768803.457229976,0,0,0,0,0,0,151.519418412181,550.2177711058745
1428506.02912519,768803.457229976,0,0,0,0,0,0,222.44990120728818,472.1148108219463
1428756.02912519,768803.457229976,0,0,0,0,0,0,343.117280885651,517.7308118647836
1429006.02912519,768803.457229976,0,0,0,0,0,0,400.5388796281431,661.9652502291141
1429256.02912519,768803.457229976,0,0,0,0,0,0,410.1948711229468,856.3590318713403
1429506.02912519,768803.457229976,0,0,1,0,0,2,548.7151086833437,1074.012844627263
1429756.02912519,768803.457229976,0,0,0,0,0,0,644.4318585507256,1303.3251280402258
1430006.02912519,768803.457229976,0,0,0,0,0,0,688.9943902412662,1539.0936255919576
1430217.6446122176,768798.0361745398,0,0,0,0,0,0,793.5438326628396,1743.240455857903
1431594.051142909,768830.1666871747,0,0,0,0,0,0,776.7350771975863,3085.4594384579077
1431756.2065828247,768803.6530619954,0,0,0,0,0,0,726.2954693951536,3249.743928604635
1432006.02912519,768803.457229976,0,0,0,0,0,0,677.948610745237,3497.1462051209132
1432256.02912519,768803.457229976,0,0,1,0,0,2,718.5856240237154,3745.021278837856
1432506.02912519,768803.457229976,0,0,0,0,0,0,648.8681843267163,3993.16130126308
1432756.02912519,768803.457229976,0,0,0,0,0,0,468.9664995583624,3985.8586628039175
1433006.02912519,768803.457229976,0,0,1,0,0,2,379.2482495471764,3873.063657506547
1433256.02912519,768803.457229976,0,0,0,0,0,0,439.0089883603425,3773.4831270786076
1433506.02912519,768803.457229976,0,0,0,0,0,0,605.4985953226856,3688.1875936014835
1433756.02912519,768803.457229976,0,0,0,0,0,0,642.2693397031289,3544.3404365327256
1434006.02912519,768803.457229976,0,0,0,0,0,0,430.0958338285474,3317.5523986406765
1434256.02912519,768803.457229976,0,0,0,0,0,0,287.14969585680166,3094.343016766567
1434506.02912519,768803.457229976,0,0,0,0,0,0,323.92509841726354,2875.5457730833514
1434756.02912519,768803.457229976,0,0,0,0,0,0,502.3942584650168,2662.2487263182306
1435006.02912519,768803.457229976,0,0,0,0,0,0,724.4808572299162,2455.8853940012254
1435256.02912519,768803.457229976,0,0,0,0,0,0,960.3879601736866,2258.3573357983155
1435506.02912519,768803.457229976,0,0,0,0,0,0,1081.2467296481577,2072.1927139722256
1435756.02912519,768803.457229976,0,0,0,0,0,0,832.4671886281285,1900.733393068342
1436006.02912519,768803.457229976,0,0,1,0,0,2,584.7296383030398,1748.3112478076107
1436256.02912519,768803.457229976,0,0,0,0,0,0,340.31732203575444,1620.307688957908
1436506.02912519,768803.457229976,1,1,0,1,0,5,121.33840877962369,1522.8925748658799
1436756.02912519,768803.457229976,0,3,0,1,0,6,138.55011812285136,1462.192388937633
1437006.02912519,768803.457229976,2,3,1,0,0,14,165.77822890003162,1442.8483530685596
1437256.02912519,768803.457229976,0,0,0,0,0,0,311.3244016767911,1466.4979228209522
1437506.02912519,768803.457229976,0,0,0,0,0,0,539.7808305058569,1531.1502033842662
